"","location","date","total_deaths_per_million","mask_category"
"814","Serbia",91,6.403,1
"815","Austria",91,18.905,1
"816","Ireland",91,34.839,2
"817","Spain",91,303.163,3
"818","Finland",92,35.916,1
"819","Slovenia",92,15.567,2
"820","Albania",92,6.333,1
"821","Ireland",92,42.006,2
"822","Bulgaria",92,2.949,1
"823","Greece",92,7.415,3
"824","Latvia",92,1.081,2
"825","Spain",92,303.163,3
"826","Denmark",92,30.43,1
"827","Czechia",92,7.052,1
"828","Austria",92,20.918,1
"829","Germany",92,51.793,2
"830","United Kingdom",92,137.123,2
"831","Hungary",92,3.812,3
"832","France",92,92.655,3
"833","Belarus",92,0.839,1
"834","Slovakia",92,0.354,3
"835","Poland",92,2.358,3
"836","Estonia",92,67.116,2
"837","Serbia",92,7.422,1
"838","Croatia",92,3.722,1
"839","Sweden",92,65.407,1
"840","Italy",92,269.1,3
"841","North Macedonia",92,10.986,2
"842","Netherlands",92,131.917,1
"843","Romania",92,7.681,3
"844","Ukraine",92,0.907,2
"845","Norway",92,10.673,1
"846","Belgium",92,204.016,2
"847","Switzerland",92,87.524,1
"848","Portugal",92,34.661,3
"849","Bosnia and Herzegovina",92,6.494,1
"850","Lithuania",92,3.636,3
"851","Ukraine",93,0.907,2
"852","Belarus",93,1.363,1
"853","Finland",93,35.916,1
"854","Lithuania",93,4,3
"855","Switzerland",93,93.244,1
"856","Latvia",93,1.081,2
"857","Austria",93,23.155,1
"858","Netherlands",93,131.917,1
"859","Spain",93,303.163,3
"860","Portugal",93,34.661,3
"861","Italy",93,279.873,3
"862","Ireland",93,50.367,2
"863","Norway",93,10.857,1
